tweet;class1;classification
Die SPD ist heute so überflüssig wie die Haare an meinen Arsch. |LBR| Die neue Volkspartei ist die AFD. |LBR| #illner;1;1
@A_Schillhaneck @KamannUwe und Toiletten, und Eheformulare und Umkleiden und Sportteams und...;0;0
@Woxl0r @Bethel_Aktuell Wir werden überall benachteiligt.  Viele Mütter in Leipzig suchen seit Jahren Kindergartenplätze.  Die Neuhinzugekommenen aus Arabien kriegen ihn hinterhergeworfen. Vong Integration wegen...;0;0
"@loriotfehlt Ich trinke es (Dachgeschoss mit zwei Kindern, Schlepperei) aber ich bin auch zäh wie Leder... |LBR| Wenn ""Renate"" Gift trinkt, wir Renate nicht vergiftet - das Wasser wird renaturiert.  😉";0;0
@ShakRiet @krippmarie Köln ist dem Abstieg geweiht....nicht nur im Fußball.. |LBR| 😃😃;0;0
@CroqiSunshine @Caro22one Verstehe. Ich bin zu nett. Typisch deutsch halt...;0;0
UND DER DUSSELIGE GAUCK DENKT ER WÄRE WIEDER IN DER DDR UND LÄßT SICH HONECKERmäßig ALIMENTIEREN, GUTEN MORGEN-DEUTSCHLAND-??;1;1
@laetacara @SebRoloff Soll ich Lyoner und Maggi mitbringen?;0;0
@johannesdal Wird ihnen im Namen dieses Gottes mit Mord gedroht? Mir schon. Mehrfach wöchentlich.;0;0
Gummigeschosse auf die Birnen von marodierenden Demonstranten. |LBR| Dann werden sie fliehen und die Ärsche retten wollen.;1;1
@Tjark_Limmer Wie einfältig ist eigentlich „für oder gegen Russland“?;0;0
@KokoLores20 @Heinrich_Krug Wir werden auf Jahre hin verseucht.....dieses Unkraut, auch dieses in den eigenen Reihen, kriegen wir nie wieder los...!!;1;1
"Nur am drücken auf ""Wir waren ja so schlimm"" .. Die sollten mal daran denken das Islamisten heute noch schlimm sind! Lügenmedien halt !";1;1
Wie konnte Gabriel Panzer an Erdogan liefern!Rüstung unter GROKO um 45%gestiegen!wie könnte DTL Waffen in Kriegsgebiete liefern?abartig;0;0
Kennt jemand eine*n Anwalt oder Anwältin für Vereinsrecht in Berlin? Gerne DM!;0;0
Keine Strafen für türkische Doppelstaatsbürger. Sofortige Aberkennung |LBR| der österr. Staatsbürgerschaft, und ab damit ins Sultanat.;1;1
"So, 3.800 qm gemäht. Als eben das ""Radler"" über die Zunge lief, kam Wasserdampf aus Nase und Ohren. Ab zum See 14° Wassertemperatur, super 😜";0;0
Die #Bundeswehr ist marode, |LBR| Geld für #Scheinasylanten ist in Hülle und Fülle da. Jetzt werden erst wieder Milliarden an #Entwicklungshilfe nach #Afrika verschenkt. |LBR| Soll Deutschland wirklich vernichtet werden?;1;1
@Pingu Seit vergangener Legislaturperiode gibt es eine Regelung, die die Entwicklung der Diäten an die der Löhne bindet. Geht also nicht um Privileg, sondern um objektiven Maßstab. Ein neuer Bundestag muss diese Regelung innerhalb von drei Monaten bestäti;0;0
@J_SR @biancalee1671 ein mitgliederentscheid kann die partei wieder zusammenführen.;0;0
@johannesdal @leoknauf Man kann nichts nicht beweisen.;0;0
@S_Inez_Aust fröhlicher gruß aus der hauptstadt werteste 😎;0;0
Es ist #Eurovision -Nacht! Schaltet pünktlich um 21 Uhr den Fernsehen ein, denn @imriziv singt für #Israel gleich als Erster. #ISR🇮🇱💗🇮🇱;0;0
@albastone72 @Ralf_Stegner Stimmt...das solche erbärmliche Kommentare überhaupt notwendig sind verdanken wir ja Stegner und Schulz...glaube mir, ich hätte es auch lieber anders..!;0;0
@KokoLores100 Dummheit hat einen Namen! SEEHOFER!!!!;1;1
Gabriel, was bist Du für ein scheinheiliger Außerrandundband-Minister. |LBR| Verkaufst Deine Demokratie an das Sultanat. Raus mit Dir.;1;1
"Heiner Geißler hat die CDU geprägt: Soziale &amp; ökologische Verantwortung, Menschlichkeit. Ich bin tief erschüttert. Sein Vermächtnis bleibt.";0;0
Heute Abend um 23:15 bei Markus Lanz;0;0
Ausländische Medien berichten dass in Deutschland ein Baby-Boom stattfindet. Allerdings ausschließlich durch Ausländer. Man vernichtet Deutschland durch ausländische Geburten.;1;1
"@Jarnsaxxa @BILD Warum nicht an Merkel? Ganz einfach, weil diese Aufzählung andere ""Bild-Nachrichten"" für mindestens 1 Jahr blockiert 😜";0;0
@Coffee__Grind @CarlaScheytt @luna_in_munich Die Strafe war in den bekannten Fällen noch nicht verbüßt. Wenn im Heimatland die Todesstrafe oder Folter droht, darf nicht abgeschoben werd;0;0
@HelalBeauty Satire? |LBR| 1. AfD ist nicht antidemkratisch |LBR| 2. In dieser Geschichte aus dem NT war das Volk aufgehetzt von der religiösen Obrigkeit.  Gotteslästerung lautete ein Vorwurf. Das kennen wir auch im Islam,  wenn Mohammed Karrikaturen verö;0;0
@SpohnMichael @xXxOPEXOBxXx @Bigreiner Die werden dafür bezahlt, aber bald ist Schluss !;0;0
Heute um 20 Uhr in DRESDEN Motorenhalle, im riesa efau Kultur Forum!;0;0
@sprachmittlerud Nein Ursula, mit voller Absicht hineingesteuert 😜;0;0
@WolfFreewilli @AndreaSchlegel3 @Ebony_Sunrise Das muss ich nicht Merkel fragen, das frage ich die Deutschen!;0;0
"Merkel: ""Möglichst viele Menschen in Arbeit bringen""??? Sie u. ihre korrupte CDU-Bande meinen doch ARMUT 😜";1;1
"@Junge_Freiheit @Renft1964 Wie man an dem Wahlergebnis gesehen hat, sind die ""Deutschen Trottel"" noch immer in der Mehrzahl!";1;1
Deutschland macht sich wieder einmal zur Lachnummer. Heute Abend bei #Maischberger.;0;0
"@Kritisches_Auge Lesen Sie doch bitte genau. Sollte mit einem kritischen Auge ja drin sein. ;) |LBR| Der Großteil bezieht sich auf anerkannte Flüchtlinge, die haben dieses Recht so oder so. Beim Nachzug zu subsidiär Geschützten, über den aktuell diskutier";0;0
@Non_Comedian Danke, aber Ich leide nicht. Im Gegenteil: gegen den Strom schwimmen ist meine Leidenschaft.  Gehe ich zum Gothic Konzert, trage ich ein gelbes Smiley T-Shirt. |LBR| Gehe ich auf den Tempelberg trage ich ein großes Kreuz. |LBR| Unter Nazis s;0;0
Der Antrag 39 bzgl. Dienstzeitverlängerung von #Geistliche|n wird auf die nächste #Synode 2018 vertagt - #aksynode16;0;0
@Einzelfallinfos @IsidorMeyer1 Der „Beamte“ , du meinst einen bewaffneten Uniformierten von der Firma mit der Wortmarke POLIZEI ‼️;0;0
"Merkel ist sich treu geblieben. |LBR| Früher Kommunistin-&gt; alle Menschen sind gleich |LBR| Heute -&gt; alle Länder sind gleich |LBR| Beides fundamentaler Irrtum";0;0
@Paxter_Redwyne Und die hinterzogenen Millionen darf er behalten..?;0;0
@tazgezwitscher Wir sind deutsche und keine Cubanische Kommunisten!;0;0
@a_prigge Du lässt es dir aber gut gehen! 👍;0;0
"@strop_peter 😂😂 in Ihrem Link wird doch auf genau die gleiche Studie zur Familienzusammensetzung Bezug genommen &amp; auch im Übrigen werden dort, wenn es nicht nur um Vermutungen, sondern wirkliche Schätzungen geht, genau die Zahlen aus unserem Ursprun";0;0
@aschentonne Und wo findet man dann all die schönen Prinzessinnen??? Wenigstens eine klitzekleine 😜;0;0
@danielm2601 Tippfehler passiert, leider. Sorry! TL;0;0
@postvonheute @Hieroncode @welt Das ist doch nicht wirklich ernst gemeint;0;0
@KokoLores20 @krippmarie Schaut die Bazille Anwalt an....😃😃;1;1
Lebendige Diskussion in der SPD notwendig und stärkend, auch wenn das in den Medien gegen uns gewandt wird.;0;0
@LC180666 @RealAppell Eine die Ihren Hals aus der Schlinge ziehen will in dem sie Bürgerkrieg in Europa anzettelt und einen Kontinent dem Islam opfert;1;1
@ThomasMichael71 @tobiasgroeflin @floriancaliebe @dieLinke @amazon @JeffBezos @amazonDE Dort, wo ich Geschäftsführer war, lief es gut...;0;0
Wenn die gute Frau Maischberger sich bei einem seriösen Fernsehen Sender oder einer seriösen Zeitung als Journalistin bewerben würde würden die beide Hände überm Kopf zusammenschlagen. Seriöser Journalismus geht anders! |LBR| #maischberger;0;0
@Fraulein_Antje @krippmarie Ich bin dafür das Österreich Deutschland eingliedert...😃😃...Österland hört sich gut an;0;0
@HolgerEwald1 @Westminster1000 made my day. Dummheit wurde schon immer bestraft. Die sind sogar so bekloppt das sie jetzt Teddys für Idioten werfen würden.;1;1
"@waszumelden @MDRAktuell Ist doch kein ""schlimmer Rassismus"" wenn er gegen Schonlängerhierlebende geht. Schliesslich muß man jede Chance nutzen, den Deutschen kleinzuhalten- "" nach DER Vergangenheit...""";1;1
Antifas beziehen ihren Lebensunterhalt von Vati;1;1
@SpadeCarrier @machtjanix23 @AthinaMala @_macmike @magna_est @petpanther0 @NoHerrman @teite99 @info2099 @lifetrend @ThomasGBauer @SchmiddieMaik @charlie_silve @willjrosenblatt @feldenfrizz @nasanasal @ellibisathide @MD_Franz Nehmt alle die raus, die sich ;0;0
"@AfDimBundestag Ich möchte nicht wissen, wann die Jungs das letzte Mal oder überhaupt mal irgendwas mit ""wir sind stolz auf Euch"" gehört haben.Während Ihr Euch nämlich den A..im Ausland aufreisst,feiern die Fachkräfte hier ständig #Koeln.Wir denken an Euc";1;1
"US-Wirt.Minister:""Bürger, die für Gleichheit&amp;Freiheit aufstehen,dürfen niemals m weißen Rassisten,Neo-Nazis +dem Ku Klux Klan gleichgesetzt""";0;0
@AfD @christianlueth Die Linken Anarchisten sind Saboteure am Deutschen Volk und gehören in Umerziehungs-Lager.🛤;1;1
EU: Einen starken Partner an seiner Seite zu haben ist eine gute Sache,jedoch nur so lange,wie er sich nicht üb. andere erhebt,Frau Merkel 😜;0;0
Laut Infos des Bayrischen Flüchtlingsrats geht der nächste Abschiebungsflug aller Voraussicht nach am 27.3. von MÜNCHEN nach #Afghanistan.;0;0
@tschmitz_eu Ich wünsch mir Mitte-Links, aber die Zeiten, als wünschen noch geholfen hat, sind vorbei..;0;0
Merkel muß für die Straftaten die sie begeht in den Knast und alle ihre Konten, incl. Mann, mit den Sorosgeldern gehören beschlagnahmt☠️😡😡☠️;1;1
Im Grunde ist es fast psychopathisch, wie Trump ständig überprüft wird. Habt ihr Säcke |LBR| auch schon seinen Stuhlgang überprüft?;1;1
@RegSprecher @KingSalman Ich hoffe das Merkel dort gesteinigt wird!!!;1;1
@Hartes_Geld @krippmarie Leute regt euch nicht auf...er redet doch nur von Merkel Roth von der Leyen Göring Chebli und ein paar weiteren....😃;0;0
Türkische Nationalisten die mich gerade angreifen können gerne als Erster an die Front gehen oder haben sie nur bei Twitter eine große Klappe und nichts dahinter? Gute Reise. #Afrin;0;0
@DuHugonotte Hab ich ein Sommerloch verpasst?;0;0
@C_Kissmann @Frank_Pasemann @katarinabarley Weil sich mit den Heulsusen niemand fotografieren lässt, sind die traurig...😂😂😂;0;0
@AthinaMala @petpanther0 @Norbinator2403 @feldenfrizz @info2099 @SJW_MadBunny @charlie_silve @_macmike Yep - aber nur, wenn wir Trolle und Vollpfosten zeitnah blockieren - sonst gehts hier den Bach runter.;0;0
"@KR_Th0 Wieso? Mich stört es sicherlich nicht &amp; sicherlich auch nicht orthodoxe #Juden, wie @EliyahHavemann, oder andere jüdische Freunde. Immerhin machst du dann genau die Erfahrungen, die wir in #Deutschland häufig machen müssen, wenn wir als jüdisc";0;0
@Ricardo25701887 Wenn Du Fragen hast, schreib mir auf DM.;0;0
@AfD_HD Lachnummern, wie Papagei Tauber sind gut für`s Wahlergebnis. Merkel steht auf Leute oh. eigene Meinung u. mit NICHTS zw. d. Ohren 😜;1;1
@Leonreas @DaniloTepsa @Beatrix_vStorch DURCHSEUCHTES SYSTEM ist ein völlig legitiemer Ausdruck für den Scheiß der von LINKSGRÜN verursacht wird !Es gibt kein NAZI-Sprech oder so ein Scheiß ! Hat auch mal nichts mit Anstand oder Erziehung zu tun ! Denn we;1;1
Khajiit = Der Sudetendeutsche mit dem leichten Bauch der Antifas und alles was gegen Deutschland ist verabscheut;0;0
@krippmarie Grausam....die ist doch schon halbtot....;1;1
Die EU ist das Beste, was unseren Ländern seit 200 J passiert ist. Populisten dürfen sie niemals zerstören! #Frieden #Freiheit #Sicherheit;0;0
Seehofer, als ehemaliger Hauptschüler sollten Sie jetzt die Überlegenheit eines Akademikers anerkennen. Ab mit Ihnen in den Ruhestand. |LBR| Die Zeit ist abgelaufen.;1;1
Ein Volk, das sich einem fremden Geist fügt, verliert schließlich alle guten Eigenschaften.;0;0
@UlrichHenning2 @weissrot aber darum geht es doch gar nicht;0;0
@michael_huether @KH_Paque @fdp @angelamerkel @Die_Gruenen @FNFreiheit @cducsubt Weil diese liberalen Impulse aber eben gar nicht möglich waren, haben wir die Gespräche beendet. Was hätten Sie uns für die Jamaika-Politik verprügelt... CL;0;0
@KokoLores20 Wir bekommen Strom aus Frankreich...genau von dem der auf ältere steht |LBR| Unsere Stromerzeuger wurden geschlossen wegen Tsunamigefahr..😃;0;0
@IngoFunke Und wieder einmal mehr zeigt sich, dass in D mit zweierlei Maas gemessen wird in der Justiz! 😨☹👎👎;0;0
@igwigg So ein Hetzer gehört in den Knast und nicht in die Kanzel.;0;0
@focusonline Endlich gibts mal was ordentliches bei Mc Donalds;0;0
@bpol_by Es ist und bleibt was es ist....illegal..! |LBR| Gebt Ihnen was zu essen was zu trinken...und statt die gleiche beschwerliche Rückreise einen angenehmen Rückflug..!;0;0
Was ein Hurensohn muss man sein um Imp zu unterstützen;1;1
@VonSchwer Ich werde dieses Land dann auch für Immer verlassen.;0;0
@M_Hofmann1983 @AJM162K9 😂😂😂 OMG - dachte ich hätte es schon gelöscht;0;0
@Wedrfoelnir @Gulag_Grim @ExilPrincess @Fokel_Exil @Khajiit7 @Doggo_non_grata @NiemandesStimme @baccarat_black @WerkOffiziell @Rayzon899 @Elliottstaender @SadisticNiles @DietmoarSchwarz @TheRpgPrincess Finger weg von meinen Skooma!!;0;0
@Awp2015Awp @MartinSchulz Das Volk liebt Trump. Auch das schwarze mit Hirn. Schulz folgen nur Lobbyisten und verlogene Postenjäger;1;1
Mach ma weiter so @spdbt @spdde #gabriel macht scheinbar alles für den #erdogan . #fckerdogan #ErdoganTheButcher #erdoganistderhass;1;1
@CsendC @MiriamOzen Was für eine ekelhafte Person....der alte..!!;1;1
@ahrens_theo lach, genieß sie, die weiten 🎉;0;0
@GeorgsGlauben Danke für den Hinweis, ist korrigiert!;0;0
@Sammy_aus_Cux Mein main acc wurde erst kürzlich gesperrt also ciao;0;0
Für 2017 wünsche ich mir nichts sehnlicher,als mich nicht mehr mit Berliner Schwachköpfen beschäftigen zu müssen u. Euch PL näher zu bringen;0;0
@Baerendeutscher Wer keine Angst vorm Teufel hat, der braucht auch keinen Gott! |LBR| 👇🤘🖕👹;0;0
@KaiUeberfeld Und obwohl man im #Koran sogar einen »muslimischen #Zionismus« finden kann, verstärkt die Sunna (»Das Leben des „Propheten“«) einen religiösen Antijudaismus / #Antisemitismus. #Juden werden sogar für den Tod von Muhammad verantwortlich gemac;0;0
@MarcSchriese @thegrandtour @RaddiRadditski @RADkult @radverkehr Da geb ich dir recht!;0;0
@KokoLores20 Zum heulen und zum in die Fresse hauen.....;1;1
@RNZonline Das meiste geht eh wieder für die Asylanten drauf 🤮;1;1
@anna_IIna Wo er recht hat hat er recht...;0;0
"@petpanther0 @MadFWagner @machtjanix23 @NoHerrman @teite99 @info2099 @lifetrend @ThomasGBauer @SchmiddieMaik @AthinaMala @charlie_silve @willjrosenblatt @feldenfrizz @nasanasal @_macmike @ellibisathide @MD_Franz Ich hau mich weg: ""Wer die Existenz des. jü";0;0
Bei den nun abgesegneten 1000 Flüchtlingen pro Monat sind die, die die BuReg in Nacht und Nebel Aktionen einfliegt aber nicht dabei.😎;1;1
Seehofer, Ihr Hauptschulabschluss reicht nicht mehr aus. Jetzt löst Sie ein Akademiker ab. |LBR| Bei den Bayern haben Sie das Vertrauen verloren. Also, ab in den Ruhestand.;1;1
Im Schnellinfo und Newsletter weisen wir auf Termine von Flüchtlingsinis, Schulungen usw. hin. Schreibt uns, dann nehmen wir eure auf.;0;0
@RT_Deutsch Sehr gut! Russland kann noch echte Friedensmission. Was die westliche Allianz hinbekommt sieht man dagegen in Afrika.;0;0
Heute ist der dritte und letzte Tag des Straßenfestes, und auch das Wetter ist wieder auf unserer Seite. Schaut vorbei! #HamburgPride ^ml;0;0
Abschottung+Nationalismus sind keine Antworten auf akt. Herausforderungen. Guter Tag,sich daran zu erinnern. Bonne Chance @EmmanuelMacron 🇪🇺;0;0
@Varg_I_Veum @DuHugonotte Wo sie recht haben ,haben sie recht.Der Schnitt ist Nano-Technologie.Ein wehleidiger Dorfbürgermeister der zudem noch Chef der Wasserwerke ist , die einem deutschen Bürger das Wasser abdreht,während die Asylanten keine Rechnung b;1;1
Egal wo ich in PL für öffentl. AG u Kommunalpolitiker dolmetschte,Deutsche Spitzenpolitiker sind bei ihnen zu (wörtl.) LACHNUMMERN geworden😜;1;1
@China_Welt_News Quatsch! Das ist die deutschfeindliche Schuld von ihnen und ihrer Kanzlerin des Grauens!;1;1
Könnte mal jemand @ThomasOppermann erklären, dass @cducsubt nicht 8 und @spdde nicht 5 „Prozent“ verloren haben, sondern jeweils über 20 %. #nurmalso @hartaberfair;0;0
Ich Glaube ich werde krank hat jemanden ein Trank der Heilung für mich ???;0;0
@ThorOdinsonDR @kacktus2010 Solche Idioten von Moderatoren gibt es in D gleich mehrere! 😛🖕👎;1;1
@Wildespess fröhlicher gruß aus der hauptstadt 👍;0;0
Ich glaube an Vögel mit 6 Flügeln. Jeder der behauptet es gibt sie nicht sollte dies bitte Beweisen. |LBR| #Religioten;1;1
@Abu_Shaitan Erst einmal sollte der Gesetzgeber Hetze klar definieren. Wo fängt Hetze an hört Meinungsfreiheit auf?;0;0
"@AfD_Bayern @knaagi Gauweiler vor ein paar Monaten im ZDF-Interview; |LBR| Gauweiler:Man kann nicht Millionen Leute ins Land lassen und die Deutschen dabei vergessen. |LBR| Reporter:Ist das denn geschehen? |LBR| Gauweiler:Das wissen wir doch alle.";0;0
@mortimer669 @derCharlie_ @FOJ45360104 @ndaktuell Nicht jeder findet Anal Ritter gut damit sollten Sie sich abfinden.;1;1
@FrlUrban Es ist ein buntgemischter Adventskalender mit vielen anderen Gewinnen, die keine Textilien sind. So ist für jeden etwas dabei. :-);0;0
@ollimoe Mich besorgt das Säbelrasseln gegen RU. Ich kenne das russ. Militär v. 1974-1988 sehr gut u. glauben Sie, d. NATO ist KEIN Gegner.;0;0
@Non_Comedian @HelalBeauty Das ist kein Idealismus.  Das nennt man Fanatismus.;0;0
"#CDU Politiker in #Monheim:""Nur weil wir keine Moscheen hier wollen, sind wir noch lange keine Rechtsradikalen"" |LBR| Bei der gemeinen Bevölkerung und der #AfD sieht das natürlich |LBR| ganz anders aus... |LBR| #Phoenix";0;0
@SteinbachErika @krippmarie So ist es....gebe es eine aufrichtige Politik, eine Politik auch für deutsche...gäbe es keine Hetze zumindest nicht in diesen Ausmaßen;0;0
@Riedegost Dem stimme ich vorbehaltlos zu Ralf. Wenn Merkel nur halb so viel Verstand hätte, wie Du, oder wie Mecklenburger 😜;1;1
@A_Flicklgruber @GiKi56534206 Und wieso wurde dieses etwas nicht Zwangsverheiratet...?;1;1
@Sepiroth1986 In den Gulagexpress und dann ab ins sibirische arbeitslager;1;1
"Hat eigentlich mal ein Deutscher Diplomat die anderen Gefangenen in der Türkei besucht und nicht nur Denis""wünscheSaraziendenTod""Yücsel ??";0;0
@DoraBromberger @CanselK Was waren die Zeiten schön, als man einem Arschloch sagen konnte das es eines ist !Schöne neue Zeit ? Ich denke NEIN !Freikarte zum heucheln;0;0
@FOJ45360104 @Lauro_Doc Warum hört ihr denen noch zu, was habt ihr von Profilügnern erwartet ⁉️;1;1
#Familiennachzug. |LBR| Sollen diese Feiglinge doch wieder zurück zu ihren Familien gehen. Warum alle nach Deutschland holen?;1;1
@focusonline Der Zuzug von subsidaer Geschützen ist das größte Problem. Es ist doch ein Irrsinnig Familien zusammen zu führen die das Land dann geschlossen wieder verlassen müssen. Im übrigen ist Syrien laut Pressemitteilung vom IS befreit. Wer baut diese;0;0
Wenn Minister Listen haben, von Milliarden,die hinterhogen wurden, werden nicht ausgelesen! Datenschutz! Herr Maas ihr NetzDG? So bigott;0;0
Das Viki in der Viktoriastraße 12 versorgt uns grad mit Essen und macht Solilimo. Vielen dank euch!;0;0
"n-tv: ""Startschwierigkeiten bei Antiterror-Übung"" &gt; Ich: ""Wenn Dilettanten unter Flintenuschis ""Obhut""  schon Krieg spielen!"" 😂😂😂";1;1
@wochenblickat @SoniaMikich Frisch dynamisch unkonventionell....der Pimpf wird seine Arbeit richtig gut machen... |LBR| ...eine weitere politische Schmach für unsere Wichtigtuer...😃😃;1;1
@gellis18 @Ralf_Stegner So weit reicht sein Gedächtnis nicht zurück. Außer Plattheiten habe ich von diesem Mann noch nichts gehört 😜;1;1
@KrahMax @MartinSchulz ..du Suffschädel.....wir tolerieren bereits weitaus schlimmeres... !!;1;1
@NiciD_95 @patricia_seelig @spdrlp @D_Stich ich war immer dafür das wie beim letzten mal die mitglieder entscheiden und nicht die funktionäre.;0;0
@focusonline Kopftuch =Zeichen einer bestimmten Religion. Religion ist Privatsache. Christen bringen auch kein Kreuz zur Uni mit.;0;0
@AkifPirincci Gab es da nicht mal ein Strafgesetz vonwegen Kuppelei ???;0;0
"@routeandswitch1 Es hat mich in meinen Positionen bestätigt.  Linke sehen den ""Balken im eigenen Auge nicht"". Schlimm, dass solche Antidemokraten Verantwortung in unserem Land haben. Null Selbstreflexion,  fasst schon narzisstisch gestört";1;1
@Karl_Lauterbach @Ralf_Stegner Also diesem Schweinepriester Lauterbach glaube ich keinen Cent....aber seiner Exfrau darf man getrost zuhören...seine Vita entspricht dem SPD-Standard...😃😃😃;1;1
Tagesaktuelle Netzweisheiten: |LBR| Wer nicht regieren will, ist kein Patriot. |LBR| Es sei denn, er ist Mitglied der SPD. |LBR| Die FDP steht jetzt rechts der CSU. |LBR| Die Linke besteht nur noch aus barmherzigen Christen. |LBR| Claudia Roth wird zum Ehrenmitglied der CDU ernannt.;0;0
Deutschland spart sich tot. Damit wir den #Invasoren jeden Wunsch erfüllen können.;1;1
Neueste Fake News der DE Medien u Politik Reichsbürger stellen eine Armee auf dass alles um von der Islamisierung unseres Landes abzulenken;0;0
Dance for human rights war ein voller Erfolg, Danke an alle, die dabei waren!;0;0
"Ich bin immer wieder ""begeistert"", wie Murksel sich ihren Sauladen schön redet. 1,6 Mio Kinder leben im Schland von HarzIV 🤢";1;1
@MarcSchriese @Polizei_Ffm Ich lach mich bucklig , Was für ein Hype wegen einem Geschenkpaket .Wir sind halt im Terroristenzeitalter.;0;0
"@christelmett @artepmobil Alle ""pro Erdogan"" Türken sofort rückführen und falls im Besitz der d. Staatsbürgerschaft sofort aberkennen! = 👍";1;1
"@RegSprecher Dann kann sie wieder das machen was sie am besten kann: ""Unser Steuergeld an die korrupten afrikanischen Regierungen verteilen!""";0;0
"@RadekZak7 @nytimes ""unholy relationships with the Kremlin"" - Was für ein hirnerweichender #links-faschistischer Dreck! Wie üblich in der #NYT #nrw17";1;1
@RNZonline Vielleicht kann die Person die Stromrechnung nicht mehr bezahlen,dank den Grünen sind durch die sogenannte Alternativenergie die Preise enorm gestiegen;0;0
@SPORT1_PR @SPORT1 @fckoeln @VfLBochum1848eV @Rote_Teufel @tipico Bei den Vereinen versagt ,dann hat er dass richtige Profil für die Medien !;1;1
@FabriziaFalcone Die kleine Heike wieder da....keine Gewalt von deutschen - nur Gewalt gegen deutsche hab ich gesagt...!;0;0
@sonneundmond1 Liebe @sonneundmond1, |LBR| daher dieser Kommentar und das Interview. Daher unser Vorgehen mittels Meldungen und Anzeigen gegen facebook und twitter-Kommentare. Daher die klare Positionierung und Berichterstattung über den Antisemitismus al;0;0
@MiriamOzen ..seit sich berufslose Grüne und drogenabhängige pädophile SPD-Politiker im Parlament eingenistet haben, sollte weitaus mehr in Frage gestellt werden als nur unsere Verfassung. |LBR| @SawsanChebli ..dein Vater hätte lesen lernen sollen....viel;1;1
Endlich mal Tacheles zu unfairen Handelsbeziehungen und Waffenexporten als Auslöser von Fluchtbewegungen, danke! @BROT_furdiewelt @Misereor;0;0
#Merkel empört über verbrennung Israelischer Fahnen. Merkel ist nur empört solange etwas mit Ausländern oder ausländische Staaten geschieht. |LBR| Deutsche Fahnen können von Ausländern ruhig verbrannt und mit Füßen getreten werden.;0;0
@Harald70199 1933 hat auch keiner etwas dagegen gemacht ‼️;0;0
"Hallo Freunde ""Absurdistan"" hat mich wieder. Gerade mit `nem Geschenk für Murksel aus PL zurück. Ein Kopftuch für die Zweitfrau des Sultans😜";1;1
"Wer über Polen schreibt, wie die ""Welt"", sollte das Land kennen und die Sprache beherrschen, nur ziehen unsere Medien Lügen vor 😜";0;0
"@EinerKai Ich kenne beide Seiten und bin nach 3 Jahren haltloser Zustände seit 2 Jahren in einer wirklichen Wohlfühl-Einrichtung.Wenn wir mal ""jaulen"" dann auf ganz ganz hohem Niveau.";0;0
@MD_Franz Das gibt eine neue Einnahmequelle für das Pack....angedichtete Familien werden meistbietend verkauft;1;1
"@Sysyphus58 Tusk wird in Polen als derjenige wahrgenommen, der Merkel in den Ar*** kriecht, war sich seiner ""Sache"" sicher u. verlor d. Wahl";1;1
Deutschland braucht für die jetzige Regierung eine richtige Opposition. |LBR| #einfachAFDwählen;0;0
Merke: Die öffentlich getragene #Kippa ist natürlich eine unnötige Provokation, das öffentlich getragene #Kopftuch hingegen ein Zeichen von Vielfalt, das man notfalls einklagt. #Antisemitismus in der salonfähigen Version.;0;0
@5y5t3m_3rr0r Das will ich doch hoffen 😜;0;0
Heute Fraktionsgremien im Kieler Landeshaus und später die erste Station meiner Tour durch alle Kreisverbände mit dem Start in Schleswig/Flensburg. Da geht es um die Situation der Bundespartei und die Kommunalwahlen im Mai.;0;0
"@RegSprecher @iaamesse Merkel hat soviel Ahnung vom Auto, wie die ""berühmte"" Kuh vom Sonntag!";1;1
@HaraldRostock @Westminster1000 Hätte das Volk das recht den Kanzler direkt zu wählen, wäre Merkel lange Geschichte.;0;0
"Moin, moin 😀 ""Für die Grünen geht es abwärts"" &gt; verstehe ich nicht, wo sie uns doch nun auch die Kosten für den ""Kohleausstieg"" aufbürden 😜😂";0;0
@BlarryOfficial @jayb392 @tagesschau Vasallen schweigt und kriecht weiter, was ihr ja schon seit Jahren macht!;1;1
Warum soll die natürliche Selektion in Afrika bekämpft werden? Zu |LBR| viele Menschen haben eben nicht genug zu essen. Geburtenkontrolle!;1;1
Wenn ich mir sowas wie Maischberger und Co anschaue fällt mir immer wieder Stasi Journalismus ein. |LBR| #maischberger;0;0
"Merkels Wahlversprechen, ich kriege das Kot*** und Mio ""BILD-dungsbürger"" mit ERBSENGROSSEN Hirnen im Schland glauben dieser Lügnerin 😂😂😂";1;1
Auch heute wieder diverse Diskussionsrunden innerhalb der SPD über den Kurs der Bundespartei und den bevorstehenden Bundesparteitag in Bonn. |LBR| Internetforum, Twitterview oder Web-Konferenz, heute Abend ganz altmodisch vor Ort in Malente beim SPD Kreisverband Ostholstein.;0;0
@Gekko125 @lawyerberlin gut. dann macht jetzt in der eu jeder was er will... solange es ihre linie ist, finden sie das bestimmt prima.;0;0
@AfDimBundestag @Joerg_Meuthen ...altgediente zum schwachsinngealterte Politiker auf Abstellgleis mit goldener Pension geparkt.. |LBR| Wehe euch wenn ihr dort landet...wehe euch;1;1
@krippmarie Ja die belohnen sich gegenseitig schon in voraus ...für schlechte Zeiten die da kommen..! |LBR| Einfach nur widerlich....und deutsche schauen zu und klatschen...!;0;0
Heute gar keine Antifas da die mich melden bin überrascht;0;0
@AntaroTV Lindner isz einfach der Lappen für den ihn 90 % der Wähler halten !;1;1
